Time,AccelX,AccelY,AccelZ
15.95,0.264,1.898,-2
15.975,0.113,1.784,-1.874
16,0.215,1.951,-2.099
16.025,0.209,1.514,-1.941
16.05,0.201,2.082,-1.718
16.075,0.119,1.69,-2.007
16.1,0.21,1.734,-1.852
16.125,0.258,2.011,-1.854
16.15,0.256,1.926,-1.654
16.175,0.215,1.508,-1.807
16.2,0.366,1.929,-1.51
16.225,0.248,1.468,-1.754
16.25,0.353,1.743,-1.264
16.275,0.338,1.34,-1.408
16.3,0.331,1.407,-0.935
16.325,0.34,1.25,-0.897
16.35,0.442,1.009,-0.748
16.375,0.396,1.102,-0.649
16.4,0.406,0.904,-0.672
16.425,0.427,0.952,-0.274
16.45,0.452,0.973,-0.493
16.475,0.498,0.917,-0.196
16.5,0.498,0.774,-0.338
16.525,0.58,0.978,-0.039
16.55,0.457,0.798,-0.068
16.575,0.462,0.886,0.201
16.6,0.526,0.816,0.102
16.625,0.533,0.77,0.306
16.65,0.503,0.712,0.345
16.675,0.517,0.697,0.417
16.7,0.465,0.596,0.426
16.725,0.469,0.496,0.513
16.75,0.459,0.466,0.499
16.775,0.5,0.399,0.573
16.8,0.479,0.319,0.581
16.825,0.463,0.278,0.621
16.85,0.469,0.225,0.614
16.875,0.434,0.125,0.649
16.9,0.482,0.092,0.699
16.925,0.499,-0.032,0.667
16.95,0.457,-0.089,0.729
16.975,0.469,-0.16,0.737
17,0.504,-0.225,0.731
17.025,0.454,-0.293,0.738
17.05,0.493,-0.339,0.711
17.075,0.501,-0.459,0.722
17.1,0.498,-0.55,0.714
17.125,0.489,-0.593,0.708
17.15,0.522,-0.656,0.707
17.175,0.563,-0.766,0.662
17.2,0.574,-0.805,0.612
17.225,0.561,-0.901,0.596
17.25,0.551,-1.024,0.545
17.275,0.567,-1.023,0.522
17.3,0.569,-1.192,0.463
17.325,0.6,-1.263,0.405
17.35,0.574,-1.34,0.336
17.375,0.593,-1.435,0.271
17.4,0.56,-1.577,0.168
17.425,0.542,-1.684,0.084
17.45,0.636,-1.708,0.167
17.475,0.573,-1.899,0.011
17.5,0.684,-1.953,0.074
17.525,0.564,-2.088,0.036
17.55,0.563,-2.155,0.205
17.575,0.551,-2.293,0.173
17.6,0.563,-2.366,0.096
17.625,0.56,-2.51,0.284
17.65,0.563,-2.583,0.359
17.675,0.462,-2.702,0.5
