,Time,AccelX,AccelY,AccelZ,AccelX_G,,,,,,,,,,,,,,,,,
64009,3.725,-77.683,6.19,5.92,-7.926836735,,,,,,,,,,,,,,,,,
64010,3.75,-76.597,6.778,4.49,-7.816020408,,,,,,,,,,,,,,,,,
64011,3.775,-76.557,7.964,5.723,-7.811938776,,,,,,,,,,,,,,,,,
64012,3.8,-75.838,6.775,7.783,-7.738571429,,,,,,,,,,,,,,,,,
64013,3.825,-75.533,7.707,7.9,-7.70744898,,,,,,,,,,,,,,,,,
64014,3.85,-73.097,8.558,9.349,-7.458877551,,,,,,,,,,,,,,,,,
64015,3.875,-75.957,8.515,7.899,-7.750714286,,,,,,,,,,,,,,,,,
64016,3.9,-72.633,7.604,7.822,-7.411530612,,,,,,,,,,,,,,,,,
64017,3.925,-70.784,5.996,7.064,-7.222857143,,,,,,,,,,,,,,,,,
64018,3.95,-69.806,6.368,7.156,-7.123061224,,,,,,,,,,,,,,,,,
64019,3.975,-69.383,5.636,7.079,-7.079897959,,,,,,,,,,,,,,,,,
64020,4,-67.507,6.349,7.153,-6.888469388,,,,,,,,,,,,,,,,,
64021,4.025,-67.873,6.191,8.253,-6.925816327,,,,,,,,,,,,,,,,,
64022,4.05,-65.823,5.512,7.475,-6.716632653,,,,,,,,,,,,,,,,,
64023,4.075,-67.225,5.596,8.766,-6.859693878,,,,,,,,,,,,,,,,,
64024,4.1,-64.505,3.886,9.507,-6.582142857,,,,,,,,,,,,,,,,,
64025,4.125,-62.589,6.435,6.523,-6.386632653,,,,,,,,,,,,,,,,,
64026,4.15,-61.787,5.996,7.371,-6.304795918,,,,,,,,,,,,,,,,,
64027,4.175,-60.158,6.896,7.447,-6.138571429,,,,,,,,,,,,,,,,,
64028,4.2,-59.508,6.624,6.237,-6.072244898,,,,,,,,,,,,,,,,,
64029,4.225,-59.293,7.399,6.981,-6.050306122,,,,,,,,,,,,,,,,,
64030,4.25,-59.413,5.237,11.26,-6.06255102,,,,,,,,,,,,,,,,,
64031,4.275,-55.835,5.64,6.177,-5.69744898,,,,,,,,,,,,,,,,,
64032,4.3,-54.921,6.02,5.705,-5.604183673,,,,,,,,,,,,,,,,,
64033,4.325,-54.824,9.933,7.526,-5.594285714,,,,,,,,,,,,,,,,,
64034,4.35,-54.847,9.377,8.009,-5.596632653,,,,,,,,,,,,,,,,,
64035,4.375,-53.587,9.178,8.149,-5.468061224,,,,,,,,,,,,,,,,,
64036,4.4,-52.261,7.994,8.101,-5.332755102,,,,,,,,,,,,,,,,,
64037,4.425,-49.978,7.143,7.742,-5.099795918,,,,,,,,,,,,,,,,,
64038,4.45,-49.406,5.395,8.033,-5.041428571,,,,,,,,,,,,,,,,,
64039,4.475,-48.084,6.055,7.064,-4.906530612,,,,,,,,,,,,,,,,,
64040,4.5,-47.405,6.163,7.495,-4.837244898,,,,,,,,,,,,,,,,,
64041,4.525,-46.087,4.999,8.105,-4.702755102,,,,,,,,,,,,,,,,,
64042,4.55,-45.084,5.61,8.123,-4.600408163,,,,,,,,,,,,,,,,,
64043,4.575,-44.632,5.824,8.924,-4.554285714,,,,,,,,,,,,,,,,,
64044,4.6,-43.435,6.621,10.749,-4.432142857,,,,,,,,,,,,,,,,,
64045,4.625,-43.498,7.18,9.345,-4.438571429,,,,,,,,,,,,,,,,,
64046,4.65,-41.765,7.331,7.986,-4.261734694,,,,,,,,,,,,,,,,,
64047,4.675,-40.197,6.882,9.138,-4.101734694,,,,,,,,,,,,,,,,,
64048,4.7,-39.575,6.256,9.088,-4.038265306,,,,,,,,,,,,,,,,,
64049,4.725,-38.935,7.577,7.695,-3.972959184,,,,,,,,,,,,,,,,,
64050,4.75,-37.209,7.59,6.248,-3.796836735,,,,,,,,,,,,,,,,,
64051,4.775,-36.914,7.737,9.403,-3.766734694,,,,,,,,,,,,,,,,,
64052,4.8,-34.937,8.47,9.685,-3.565,,,,,,,,,,,,,,,,,
64053,4.825,-34.409,8.185,9.408,-3.511122449,,,,,,,,,,,,,,,,,
64054,4.85,-33.141,11.003,6.881,-3.381734694,,,,,,,,,,,,,,,,,
64055,4.875,-33.227,8.607,8.633,-3.390510204,,,,,,,,,,,,,,,,,
64056,4.9,-33.054,8.209,10.521,-3.372857143,,,,,,,,,,,,,,,,,
